"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-441132089150901",44.1921994,-89.2526175,NA
"USGS-441242089511200",44.2116334,-89.853459,"nhd_14704062"
"USGS-441243087302401",44.2119444,-87.5066667,NA
"USGS-441257089071500",44.2157222,-89.1207222,"nhd_9036137"
"USGS-441303087302401",44.2175,-87.5066667,NA
"USGS-441323087302401",44.2230556,-87.5066667,NA
"USGS-441710090425200",44.2861111,-90.7144444,NA
"USGS-441721090430800",44.2891282,-90.7190275,NA
"USGS-441730090432900",44.2916282,-90.724861,NA
"USGS-441733090434400",44.2924615,-90.7290279,NA
"USGS-441925089112800",44.3235885,-89.191226,"nhd_9036005"
"USGS-442024089090200",44.339978,-89.1506697,"nhd_9035945"
"USGS-442129091251100",44.3580183,-91.4198791,"nhd_2731800"
"USGS-442602089234101",44.4338612,-89.394838,"nhd_9035803"
"USGS-443311091231000",44.5530191,-91.386269,NA
"USGS-444543087193001",44.7619444,-87.325,NA
"USGS-444720090445000",44.7888513,-90.7473651,"nhd_13096378"
"USGS-444733090460100",44.7924624,-90.7670877,"nhd_13096378"
"USGS-445009088303700",44.8358211,-88.510381,"nhd_9029755"
"USGS-445022088373500",44.8394444,-88.6263889,NA
"USGS-445215088300300",44.8708212,-88.5009369,"nhd_6810936"
"USGS-445216088300001",44.871099,-88.5001036,"nhd_6810936"
"USGS-445240088311001",44.8777648,-88.5195482,"nhd_9029681"
"USGS-445302088353101",44.8838729,-88.5920485,NA
"USGS-445302088353102",44.8838729,-88.5920485,NA
"USGS-445305088361200",44.8847057,-88.6034374,"nhd_9029669"
"USGS-445318088373301",44.8883159,-88.6259375,NA
"USGS-445319088321601",44.8885973,-88.5378817,"nhd_9029663"
"USGS-445321088323101",44.8891527,-88.5420484,"nhd_9029663"
"USGS-445322088281801",44.8875,-88.4722222,"nhd_6810874"
"USGS-445324088370001",44.8899829,-88.6167708,"nhd_6810820"
"USGS-445325088282900",44.890266,-88.4748257,"nhd_6810874"
"USGS-445326088213000",44.890546,-88.3584352,"nhd_6810876"
"USGS-445328088335000",44.8910962,-88.5639929,"nhd_9029657"
"USGS-445330088335001",44.8916518,-88.5639929,"nhd_9029657"
"USGS-445330088335002",44.8916518,-88.5639929,"nhd_9029657"
"USGS-445330088361400",44.8916501,-88.603993,"nhd_6810820"
"USGS-445342088312700",44.8949867,-88.5242706,"nhd_6810820"
"USGS-445345088313001",44.89582,-88.525104,"nhd_6810820"
"USGS-445345088313002",44.89582,-88.525104,"nhd_6810820"
"USGS-445352088295800",44.8977655,-88.4995483,"nhd_6810864"
"USGS-445355088301501",44.8985987,-88.5042706,"nhd_6810864"
"USGS-445400088320100",44.8999863,-88.5337151,"nhd_6810820"
"USGS-445401088334500",44.9002629,-88.5626041,"nhd_6810820"
"USGS-445410088334001",44.9027629,-88.5612153,"nhd_6810820"
"USGS-445423088352001",44.9063728,-88.5889932,NA
"USGS-445850088495300",44.98053,-88.8314958,"nhd_9029551"
"USGS-445850088495600",44.98053,-88.8323291,"nhd_9029551"
"USGS-445850088554501",44.9805277,-88.9292749,"nhd_9029557"
"USGS-445851088495000",44.9808078,-88.8306624,"nhd_9029551"
"USGS-445851088500000",44.9808077,-88.8334402,"nhd_9029551"
"USGS-445852088500700",44.9810855,-88.8353847,"nhd_9029551"
"USGS-445853088493500",44.9813635,-88.8264957,NA
"USGS-445853088501900",44.9813632,-88.838718,"nhd_9029551"
